MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
4_12.877	0.0193059728447	7.20538866857	13	237	3	247	4.33333333333
114_2.109	1.0	9.82947089557	4	246	3	247	1.33333333333
83_3.547	0.503831144952	8.76447671495	6	244	3	247	2.0
133_1.583	0.00212257616608	7.43348500613	17	233	3	247	5.66666666667
31_8.471	0.260491663689	7.61884024369	9	241	4	246	2.25
42_7.628	0.623492457752	9.60234333203	1	249	3	247	0.333333333333
72_4.908	0.00654582764502	8.14322134608	15	235	3	247	5.0
67_5.218	0.338778369003	8.73150763094	7	243	3	247	2.33333333333
120_1.926	1.0	9.3012158499	2	248	3	247	0.666666666667
92_3.152	0.0325177385818	8.7390781301	12	238	3	247	4.0
14_10.387	1.0	9.33036679972	2	248	3	247	0.666666666667
81_3.581	1.0	9.73281457291	2	248	3	247	0.666666666667
145_1.142	1.0	8.87463556616	3	247	3	247	1.0
126_1.84	0.00374660526348	8.29337070295	16	234	3	247	5.33333333333
88_3.352	0.0880920479724	8.94199237269	10	240	3	247	3.33333333333
106_2.408	0.0880920479724	8.02506308606	10	240	3	247	3.33333333333
16_10.038	0.00119114771316	6.84308307214	18	232	3	247	6.0
102_2.582	0.0193059728447	7.50902107655	13	237	3	247	4.33333333333
24_9.306	0.0880920479724	8.30966010054	10	240	3	247	3.33333333333
154_0.789	0.0880920479724	8.42503693073	10	240	3	247	3.33333333333
116_1.961	0.141138083578	8.62024530934	9	241	3	247	3.0
123_1.871	0.0325177385818	8.3213706594	12	238	3	247	4.0
17_9.89	1.0	8.98504765181	4	246	3	247	1.33333333333
21_9.572	0.503831144952	7.927309441	6	244	3	247	2.0
134_1.535	0.0586220389422	7.76119553132	14	236	5	245	2.8
30_8.668	0.503831144952	8.87206708776	6	244	3	247	2.0
74_3.838	0.00608114709099	7.85807458789	17	233	4	246	4.25
128_1.77	0.00212257616608	7.8502443157	17	233	3	247	5.66666666667
91_3.218	0.000662560445691	7.58572773658	19	231	3	247	6.33333333333
130_1.756	0.0539661281468	9.00193362538	11	239	3	247	3.66666666667
61_6.007	0.417244332764	8.08426912729	9	241	5	245	1.8
78_3.656	0.0539661281468	8.46507846549	11	239	3	247	3.66666666667
89_3.332	0.141138083578	7.84472726781	9	241	3	247	3.0
149_0.989	0.00212257616608	7.67728256458	17	233	3	247	5.66666666667
144_1.184	0.00895607255569	7.96349014498	18	232	5	245	3.6
9_11.088	0.221364732468	8.0834801784	8	242	3	247	2.66666666667
51_7.065	0.00374660526348	7.455933272	16	234	3	247	5.33333333333
155_0.779	0.0880920479724	8.74254200751	10	240	3	247	3.33333333333
47_7.483	0.00374660526348	7.63868918922	16	234	3	247	5.33333333333
35_8.091	0.0325177385818	8.42518312434	12	238	3	247	4.0
161_0.126	0.0452927517327	8.0689726028	13	237	4	246	3.25
85_3.497	0.0721530357933	8.16918459511	12	238	4	246	3.0
156_0.773	0.54425223294	8.77885831103	7	243	4	246	1.75
118_1.933	0.221364732468	9.34570480813	8	242	3	247	2.66666666667
124_1.859	0.00374660526348	7.58806993864	16	234	3	247	5.33333333333
65_5.561	0.0880920479724	7.84335032809	10	240	3	247	3.33333333333
1_13.649	0.0325177385818	8.14331750102	12	238	3	247	4.0
39_7.854	0.00212257616608	7.86339357496	17	233	3	247	5.66666666667
115_1.994	0.000200060514782	7.48347582082	21	229	3	247	7.0
5_12.504	0.00036549929031	6.82587950884	20	230	3	247	6.66666666667
8_11.2	0.141138083578	7.71488338926	9	241	3	247	3.0
131_1.661	1.0	8.96281330369	4	246	3	247	1.33333333333
44_7.602	0.54425223294	9.05764409405	7	243	4	246	1.75
100_2.727	1.0	8.6770962959	4	246	3	247	1.33333333333
