MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
44_6.916	0.0452927517327	7.85927687001	13	237	4	246	3.25
48_6.641	0.141138083578	8.69265086989	9	241	3	247	3.0
16_10.317	0.0880920479724	8.17982432824	10	240	3	247	3.33333333333
128_1.181	0.000200060514782	7.80584956315	21	229	3	247	7.0
21_9.083	0.0880920479724	8.90790135919	10	240	3	247	3.33333333333
3_12.632	0.00212257616608	7.49928196836	17	233	3	247	5.66666666667
11_11.129	0.338778369003	7.83856340524	7	243	3	247	2.33333333333
142_0.741	0.0880920479724	8.18828221402	10	240	3	247	3.33333333333
146_0.686	0.00374660526348	8.13468755519	16	234	3	247	5.33333333333
145_0.713	0.0235597602518	8.14245901712	16	234	5	245	3.2
113_1.73	0.338778369003	8.77558367254	7	243	3	247	2.33333333333
88_2.927	0.221364732468	8.3103382282	8	242	3	247	2.66666666667
53_6.227	0.00212257616608	7.59186011121	17	233	3	247	5.66666666667
149_0.565	0.0539661281468	8.7357976577	11	239	3	247	3.66666666667
40_7.209	0.0113100408791	7.93650017811	14	236	3	247	4.66666666667
121_1.445	0.0721530357933	8.15822352996	12	238	4	246	3.0
49_6.574	0.0193059728447	7.96790080105	13	237	3	247	4.33333333333
1_13.382	0.0113100408791	7.00143493703	14	236	3	247	4.66666666667
143_0.732	0.141138083578	8.58077480446	9	241	3	247	3.0
69_4.213	0.338778369003	8.96133754881	7	243	3	247	2.33333333333
45_6.902	0.381818030249	8.68061329342	8	242	4	246	2.0
133_1.055	0.338778369003	8.39252407423	7	243	3	247	2.33333333333
14_10.483	0.221364732468	8.58374009837	8	242	3	247	2.66666666667
80_3.174	0.724350636085	8.76507420025	5	245	3	247	1.66666666667
36_7.615	0.141138083578	8.09935555799	9	241	3	247	3.0
104_2.128	1.0	8.83480842642	4	246	5	245	0.8
117_1.614	0.00207360093375	7.57270321978	19	231	4	246	4.75
140_0.871	0.0880920479724	8.46310732984	10	240	3	247	3.33333333333
85_3.026	0.141138083578	8.24577726542	9	241	3	247	3.0
93_2.581	0.0325177385818	8.3033480991	12	238	3	247	4.0
148_0.585	1.0	9.48139218022	4	246	3	247	1.33333333333
155_0.214	0.125194975304	7.71185100409	15	235	7	243	2.14285714286
76_3.598	0.0880920479724	7.854399537	10	240	3	247	3.33333333333
141_0.795	0.221364732468	8.27799144369	8	242	3	247	2.66666666667
75_3.647	0.503831144952	9.26908173706	6	244	3	247	2.0
31_7.783	0.503831144952	9.44212909787	6	244	3	247	2.0
29_7.942	1.0	9.46530737002	2	248	3	247	0.666666666667
61_5.319	0.221364732468	8.2162048661	8	242	3	247	2.66666666667
94_2.54	0.503831144952	8.34309537317	6	244	3	247	2.0
28_7.949	1.0	8.94870361589	4	246	3	247	1.33333333333
151_0.387	0.221364732468	9.08106651565	8	242	3	247	2.66666666667
134_1.034	0.11294919945	8.34041230535	11	239	4	246	2.75
60_5.466	0.0325177385818	8.40752831841	12	238	3	247	4.0
51_6.476	0.0539661281468	7.6563423958	11	239	3	247	3.66666666667
127_1.205	0.0452927517327	8.40822718205	13	237	4	246	3.25
39_7.326	0.0325177385818	8.95136759211	12	238	3	247	4.0
112_1.75	1.0	8.87333394634	3	247	3	247	1.0
0_13.882	0.0325177385818	8.53199795846	12	238	3	247	4.0
92_2.703	0.141138083578	8.2409724888	9	241	3	247	3.0
124_1.353	0.338778369003	8.6327369372	7	243	3	247	2.33333333333
2_12.908	0.0325177385818	7.86893813195	12	238	3	247	4.0
111_1.798	0.00207360093375	7.82896260623	19	231	4	246	4.75
64_4.758	0.503831144952	8.3218936351	6	244	3	247	2.0
58_5.718	0.141138083578	9.54692578762	9	241	3	247	3.0
87_2.945	0.0170429115758	8.07649193348	15	235	4	246	3.75
96_2.448	0.0539661281468	7.47861912136	11	239	3	247	3.66666666667
91_2.811	0.221364732468	8.00968709117	8	242	3	247	2.66666666667
98_2.417	0.381818030249	8.9942102892	8	242	4	246	2.0
59_5.551	0.221364732468	8.65153921674	8	242	3	247	2.66666666667
139_0.9	0.037443481344	7.69159381656	15	235	5	245	3.0
26_8.259	0.173406847536	7.8299450177	10	240	4	246	2.5
138_0.943	0.0113100408791	8.05375652572	14	236	3	247	4.66666666667
77_3.501	0.221364732468	8.37719102837	8	242	3	247	2.66666666667
4_12.621	0.0113100408791	7.93825699483	14	236	3	247	4.66666666667
10_11.261	0.724350636085	7.90845380101	5	245	3	247	1.66666666667
50_6.557	0.00654582764502	8.14570307966	15	235	3	247	5.0
122_1.434	0.338778369003	8.4960297525	7	243	3	247	2.33333333333
135_1.007	0.0325177385818	7.61330939587	12	238	3	247	4.0
154_0.248	0.381818030249	9.29673242749	8	242	4	246	2.0
65_4.515	0.0193059728447	7.97716891977	13	237	3	247	4.33333333333
17_10.064	0.0113100408791	7.72342660501	14	236	3	247	4.66666666667
32_7.716	0.54425223294	9.07183756312	7	243	4	246	1.75
54_6.093	0.221364732468	8.27357513798	8	242	3	247	2.66666666667
153_0.352	0.00212257616608	7.76787283797	17	233	3	247	5.66666666667
68_4.255	0.0880920479724	8.52359010537	10	240	3	247	3.33333333333
56_5.885	0.00207360093375	7.64437393827	19	231	4	246	4.75
71_3.959	0.221364732468	9.67157336784	8	242	3	247	2.66666666667
47_6.718	0.000662560445691	8.38978044366	19	231	3	247	6.33333333333
102_2.268	0.338778369003	9.54728920876	7	243	3	247	2.33333333333
118_1.587	0.260491663689	9.26792287732	9	241	4	246	2.25
67_4.438	0.0880920479724	8.9736822802	10	240	3	247	3.33333333333
136_0.952	0.0539661281468	7.88093366188	11	239	3	247	3.66666666667
107_1.981	1.0	8.53014831426	3	247	3	247	1.0
105_2.092	0.0325177385818	7.68672386999	12	238	3	247	4.0
115_1.689	0.0539661281468	7.52590643267	11	239	3	247	3.66666666667
81_3.167	0.503831144952	8.49568196736	6	244	3	247	2.0
74_3.763	0.141138083578	8.65085887258	9	241	3	247	3.0
15_10.434	0.221364732468	8.57814939175	8	242	3	247	2.66666666667
79_3.225	0.0325177385818	8.24466611235	12	238	3	247	4.0
125_1.245	0.00212257616608	7.84316280862	17	233	3	247	5.66666666667
106_2.053	0.173406847536	9.1334059927	10	240	4	246	2.5
23_8.798	0.0880920479724	7.8975939036	10	240	3	247	3.33333333333
90_2.866	1.0	8.66180056625	5	245	4	246	1.25
89_2.913	0.0452927517327	8.07237168129	13	237	4	246	3.25
20_9.153	0.0193059728447	8.23757409321	13	237	3	247	4.33333333333
114_1.698	0.503831144952	9.68346185856	6	244	3	247	2.0
37_7.5	0.0880920479724	8.07206505422	10	240	3	247	3.33333333333
55_5.999	0.0880920479724	8.4870180697	10	240	3	247	3.33333333333
100_2.272	0.503831144952	8.63935169755	6	244	3	247	2.0
150_0.449	0.0880920479724	7.77813556957	10	240	3	247	3.33333333333
72_3.941	0.221364732468	8.73732367072	8	242	3	247	2.66666666667
57_5.792	0.338778369003	8.92594140833	7	243	3	247	2.33333333333
30_7.847	0.0880920479724	8.65563121989	10	240	3	247	3.33333333333
119_1.476	0.0539661281468	8.25424218693	11	239	3	247	3.66666666667
25_8.673	0.141138083578	8.01694759454	9	241	3	247	3.0
126_1.225	0.11294919945	8.92751970755	11	239	4	246	2.75
116_1.634	0.202700759496	8.09334476469	11	239	5	245	2.2
99_2.415	0.00356979041678	7.63419810003	18	232	4	246	4.5
9_11.276	0.338778369003	7.84760297749	7	243	3	247	2.33333333333
78_3.292	0.503831144952	8.88795869445	6	244	3	247	2.0
83_3.114	0.0880920479724	8.54294080947	10	240	3	247	3.33333333333
5_11.998	0.0880920479724	8.33554217407	10	240	3	247	3.33333333333
8_11.425	1.0	8.63003537747	4	246	3	247	1.33333333333
66_4.441	0.724350636085	8.68971456649	5	245	3	247	1.66666666667
35_7.632	0.381818030249	8.68326108786	8	242	4	246	2.0
27_7.962	0.221364732468	8.30416089538	8	242	3	247	2.66666666667
137_0.945	0.00212257616608	7.60333562975	17	233	3	247	5.66666666667
101_2.272	0.00356979041678	8.10944603079	18	232	4	246	4.5
97_2.428	0.503831144952	8.50214919464	6	244	3	247	2.0
108_1.907	0.141138083578	8.1358659182	9	241	3	247	3.0
86_2.976	0.503831144952	8.43819635506	6	244	3	247	2.0
43_6.972	0.338778369003	9.08824975329	7	243	3	247	2.33333333333
120_1.473	0.0102427216531	7.66846013052	16	234	4	246	4.0
63_4.795	0.381818030249	9.07039218941	8	242	4	246	2.0
38_7.478	0.00654582764502	8.18071120622	15	235	3	247	5.0
34_7.704	0.503831144952	8.67239697523	6	244	3	247	2.0
110_1.826	0.0539661281468	8.53462154176	11	239	3	247	3.66666666667
132_1.078	0.0193059728447	7.84057366127	13	237	3	247	4.33333333333
12_10.881	1.0	9.53593218302	4	246	3	247	1.33333333333
41_7.153	0.173406847536	8.39411958468	10	240	4	246	2.5
22_8.914	0.0325177385818	7.60034687831	12	238	3	247	4.0
129_1.172	0.623492457752	9.91972588	1	249	3	247	0.333333333333
18_9.438	0.503831144952	8.25435943855	6	244	3	247	2.0
46_6.778	0.0539661281468	8.53656686918	11	239	3	247	3.66666666667
52_6.391	1.0	8.67790827925	4	246	3	247	1.33333333333
62_5.042	0.503831144952	8.3433887949	6	244	3	247	2.0
84_3.096	0.338778369003	8.83794977053	7	243	3	247	2.33333333333
95_2.469	0.724350636085	8.4766622601	5	245	3	247	1.66666666667
19_9.423	0.724350636085	8.38231430363	5	245	3	247	1.66666666667
73_3.936	0.00374660526348	8.05340608078	16	234	3	247	5.33333333333
144_0.719	0.0113100408791	8.04341313598	14	236	3	247	4.66666666667
130_1.161	0.141138083578	8.194417351	9	241	3	247	3.0
123_1.398	0.0539661281468	8.0968279314	11	239	3	247	3.66666666667
7_11.669	0.0193059728447	8.219166761	13	237	3	247	4.33333333333
33_7.705	0.221364732468	7.89666567958	8	242	3	247	2.66666666667
42_6.983	0.221364732468	8.66144484187	8	242	3	247	2.66666666667
147_0.628	0.221364732468	8.24109683166	8	242	3	247	2.66666666667
156_0.09	0.260491663689	8.82835724873	9	241	4	246	2.25
82_3.163	0.221364732468	8.49834893764	8	242	3	247	2.66666666667
6_11.828	0.00654582764502	7.88350850002	15	235	3	247	5.0
103_2.213	0.00119114771316	7.8315774334	18	232	3	247	6.0
24_8.797	0.623492457752	9.12382974196	1	249	3	247	0.333333333333
109_1.891	0.0325177385818	9.01828524881	12	238	3	247	4.0
131_1.117	0.724350636085	8.20786713513	5	245	3	247	1.66666666667
152_0.352	1.0	8.65593748613	7	243	6	244	1.16666666667
70_4.094	0.0721530357933	8.42166161302	12	238	4	246	3.0
13_10.677	0.141138083578	8.65806079686	9	241	3	247	3.0
