MOTIF	37_7.346
>0	5.638536601667702
>1	5.214908378222729
>2	4.671611369409028
>3	7.053566503645903
>4	2.1454493932277385
>5	4.844374837908581
>6	4.320203085623719
>7	4.3145667407932695
>8	6.648172396456977
>9	4.521935540192249
>10	5.043440049379553
>11	5.726405531577104
>12	7.2883596317162045
>13	3.36290262016556
>14	4.276289319165886
>15	2.403029593895466
>16	6.966508023485076
>17	3.942386247563095
>18	8.251309544136799
>19	3.898505241111713
>20	1.8000349237745024
>21	4.614355855877051
>22	3.5631633104382274
>23	4.844374837908581
>24	6.773962063310657
>25	6.253247082072969
>26	3.6509512405541606
>27	6.719207838580302
>28	3.943426875306564
>29	4.398675454861425
>30	4.042240096107568
>31	4.7125808389327375
>32	4.616014666727855
>33	6.957512940435531
>34	3.4177898797613677
>35	4.020876947911436
>36	3.917424886063836
>37	4.316688635658439
>38	3.1898169830167973
>39	5.655633906820174
>40	3.6305316851648186
>41	3.6198208062312256
>42	6.9336380894819545
>43	3.6649933051779473
>44	2.6298930979740316
>45	3.7979573802699127
>46	2.564390691454842
>47	3.5174342670695733
>48	4.014652224532526
>49	5.095228787821366
>50	5.480165459609389
>51	4.470375985890835
>52	4.596092793546257
>53	3.1936993689872897
>54	4.943024834753881
>55	6.621290138618129
>56	3.9971552379570143
>57	1.8800227206363864
>58	5.89416375094877
>59	5.634477025993073
>60	4.663840862369664
>61	6.07163297415412
>62	1.8515262851778034
>63	4.3266116652160065
>64	3.574198219105401
>65	3.029303756957553
>66	4.415084872970096
>67	2.7291831987515778
>68	4.603187391114258
>69	2.7743441397080706
>70	3.4428107580381364
>71	2.710405486601482
>72	4.923710077599033
>73	4.610802090869038
>74	1.6138641038397745
>75	5.5920059150209696
>76	1.4611406829529545
>77	4.695115896698288
>78	4.013824836598647
>79	8.251309544136799
>80	4.586791172079057
>81	3.1398739584422453
>82	6.1726082790835655
>83	3.339203899518761
>84	4.166031325847491
>85	3.4749829675326813
>86	4.712068229938227
>87	3.9769376975425224
>88	8.818380216777868
>89	3.9253895553630027
>90	4.205909333589072
>91	4.752800777132578
>92	6.557813690669988
>93	4.227904765088562
>94	7.024948606774131
>95	2.8266670181755904
>96	4.528228519882909
>97	4.528013143267764
>98	3.5957080299151265
>99	3.7961221321190557
>100	6.74601599433386
>101	1.9898191734044377
>102	5.745377407143074
>103	5.035429475962597
>104	5.533624860530706
>105	4.7075690608218
>106	5.111020709561322
>107	5.888154404185004
>108	3.898528473089829
>109	6.265737013470575
>110	5.000413168368224
>111	4.182814389260113
>112	3.7376668472625285
>113	5.210501060736201
>114	5.875664472787397
>115	6.11163395852088
>116	2.7421539711918896
>117	3.9614513686211774
>118	7.251283706790546
>119	3.6098501345682914
>120	4.764512387461274
>121	3.3235247384643243
>122	7.734007476027947
>123	8.251309544136799
>124	4.789620613178227
>125	6.398975887660014
>126	2.4588568681083434
>127	8.677428251350761
>128	5.875664472787397
>129	3.3692997926096915
>130	6.253247082072969
>131	5.067109902976952
>132	4.669242674158094
>133	3.2765264309847173
>134	3.637013629333179
>135	4.304198704260832
>136	3.0429792880111637
>137	4.139193211459328
>138	3.671028639321347
>139	6.6231166265069685
>140	5.686031437519366
>141	2.7698937254786973
>142	3.196760971067884
>143	4.474559213504726
>144	4.662760729989732
>145	4.923565176039898
>146	3.6990220171399533
>147	3.8481986525601246
>148	4.610058701042668
>149	2.5497946751039917
>150	4.669403601986744
>151	4.50837250767437
>152	4.37730840621192
>153	6.203904585176161
>154	3.2246734163878275
>155	5.585523970852607
>156	3.0230140299468493
>157	4.680225672224182
>158	2.294243943316225
>159	6.2381551882021515
>160	3.513820813541421
>161	4.752800777132578
>162	4.142281341789865
>163	2.361091688524739
>164	3.2799342104246145
