MOTIF	140_0.802
>0	4.300500539095632
>1	4.292796532368109
>2	2.954797083753933
>3	5.0123214797651965
>4	3.596872411096895
>5	4.295534414396252
>6	3.6478360846308266
>7	4.285699018362513
>8	3.3188481192276162
>9	6.743014220082891
>10	4.849876332302197
>11	5.9210504669240045
>12	6.074830541779533
>13	6.743014220082891
>14	3.618804898870541
>15	6.617337523794221
>16	4.095150492332656
>17	4.2469530664426145
>18	5.473826597575575
>19	5.591392936195508
>20	2.4414796984109586
>21	5.435887822974976
>22	5.320104701809991
>23	5.10623029224648
>24	4.957204001880355
>25	2.505153912777259
>26	4.8965383586002105
>27	6.702011726631867
>28	3.135367293286516
>29	6.200507238068202
>30	4.095150492332656
>31	7.921306403262213
>32	3.401652434364241
>33	4.439336172754508
>34	8.005980606099858
>35	4.874605870826565
>36	5.683826463283037
>37	4.922773778338533
>38	6.714391951735279
>39	3.584523097675939
>40	3.647526968588589
>41	5.536099768555957
>42	6.200507238068202
>43	3.3315374603732657
>44	6.827688422920536
>45	3.5029635986156102
>46	6.8953618156635
>47	5.59825431566227
>48	4.158154363245306
>49	4.133089266933255
>50	3.4801762504852927
>51	3.966587872636295
>52	3.647526968588589
>53	8.005980606099858
>54	3.5721428725725275
>55	6.153845211770189
>56	5.46528076035322
>57	4.2324400051302025
>58	4.774170784118412
>59	4.0972306936243434
>60	3.619771881590281
>61	6.714391951735279
>62	3.647526968588589
>63	4.390812966128085
>64	8.005980606099858
>65	3.6216006648925054
>66	4.097939491234459
>67	5.5896678978305046
>68	5.038556899503517
>69	6.743014220082891
>70	3.8121549879021734
>71	4.133089266933255
>72	5.436967608047846
>73	4.912880203214848
>74	4.869717277574052
>75	6.827688422920536
>76	3.6864782916135037
>77	6.200507238068202
>78	4.19484415964393
>79	6.801453003182216
>80	3.6963136876472436
>81	6.089632062512651
>82	7.979745186361538
>83	6.714391951735279
>84	9.283714065829528
>85	2.353451664244282
>86	3.7469682451389374
>87	5.07298712304534
>88	4.0309373430751165
>89	4.78566318304466
>90	4.19484415964393
>91	9.283714065829528
>92	4.095150492332656
>93	3.6978195688611977
>94	3.434689419482547
>95	4.280416307264698
>96	6.827688422920536
>97	3.5721428725725275
>98	2.987402810109745
>99	6.101065961517854
>100	2.87923048537128
>101	3.02893220156802
>102	4.2324400051302025
>103	3.6963136876472436
>104	3.6499138171978807
>105	7.378799421247524
>106	6.078139663586404
>107	4.8965383586002105
>108	4.806932478083603
>109	5.536099768555957
>110	2.7220023389077475
>111	5.204263401555061
>112	7.291312696941222
>113	5.502181173524202
>114	4.81189860278298
>115	4.280416307264698
>116	6.702011726631867
>117	2.635250403503049
>118	5.536099768555957
>119	4.082429172891225
>120	6.016391758680209
>121	7.262958120992594
>122	5.472577619373601
>123	4.8998474804070815
>124	4.390812966128085
>125	2.882204501938258
>126	4.01944494414887
>127	6.714701067777516
>128	4.975553028590867
>129	4.2324400051302025
>130	7.378799421247524
>131	4.282054970622452
>132	4.295534414396252
>133	6.200507238068202
>134	5.86261168382468
>135	4.922773778338533
>136	5.59825431566227
>137	3.102124124085376
>138	3.465024824015012
>139	6.078139663586404
>140	8.005980606099858
>141	3.534130696032895
>142	6.200507238068202
>143	5.07298712304534
>144	3.6963136876472436
>145	8.105421882650207
>146	6.084665937813272
>147	3.8022614127784884
>148	6.643572943532543
>149	4.19821229405621
>150	6.801453003182216
>151	5.436967608047846
>152	4.406093003553368
>153	7.979745186361538
>154	4.797097082049863
>155	7.262958120992594
>156	4.681255781794932
>157	5.473826597575575
>158	4.258366308826286
>159	4.874605870826565
>160	9.283714065829528
>161	5.5896678978305046
>162	5.900550458425279
>163	3.135367293286516
>164	9.283714065829528
>165	6.316290359233188
>166	3.0223799381434957
>167	8.105421882650207
>168	5.473826597575575
>169	4.78566318304466
>170	6.132174879845194
>171	6.113020513761899
>172	4.8761117520405195
>173	4.258675424868525
>174	3.765492961604161
>175	4.871631854259587
>176	5.683826463283037
>177	5.958989241524602
>178	4.797097082049863
>179	3.5256904672951563
>180	4.258366308826286
>181	3.5706369913585734
>182	6.200507238068202
>183	5.591392936195508
>184	7.291312696941222
>185	4.712422879212217
>186	4.681255781794932
>187	3.7952536633156697
>188	5.0123214797651965
>189	7.291312696941222
>190	4.622816998695608
>191	4.797097082049863
>192	2.866565708880726
>193	4.596581578957286
>194	2.7510917037579787
>195	3.1336422549215133
>196	4.174001222030879
>197	6.714391951735279
>198	4.681255781794932
>199	6.074830541779533
>200	3.3933828914373416
>201	4.8998474804070815
>202	5.958989241524602
>203	4.439336172754508
>204	7.378799421247524
>205	5.498813039111922
>206	4.023990389791901
>207	4.869717277574052
>208	6.316290359233188
>209	6.200507238068202
>210	3.4159025471686735
>211	6.190613662944519
>212	3.148056634432166
>213	6.046727163212674
>214	4.8965383586002105
>215	6.016391758680209
>216	5.523719543452545
>217	2.2735294913573436
>218	5.386398052359217
>219	4.768993703483003
>220	4.132998728579855
>221	3.631185123973952
>222	4.712422879212217
>223	6.316290359233188
>224	2.3923448081792515
>225	2.5369081781522302
>226	5.591392936195508
>227	3.596872411096895
>228	6.216849082682839
>229	5.536408884598194
>230	5.4390453406149
>231	5.958989241524602
>232	5.523719543452545
>233	6.101065961517854
>234	4.3260397015692496
>235	3.5029635986156102
>236	3.110460788945893
>237	7.378799421247524
>238	3.597266528942198
>239	4.173692105988641
>240	4.196093137845905
>241	4.809786423195511
>242	4.132998728579855
>243	4.025971218375739
