MOTIF	14_11.209
>0	4.1128573594779345
>1	4.487091013914301
>2	6.762331333666407
>3	5.039035854764567
>4	5.768993995609317
>5	6.015272102632691
>6	3.7306804807397604
>7	2.9218517040835277
>8	5.415600751297777
>9	7.672723655112098
>10	3.5252141647194133
>11	8.364104704004589
>12	4.152400870272625
>13	2.979943289276355
>14	3.370534636894697
>15	3.552113375792132
>16	4.305418609539234
>17	3.0587431230005553
>18	6.495800213233225
>19	2.7001023726865716
>20	2.3179885234977924
>21	3.903200211140271
>22	3.089045322343302
>23	4.747171051081521
>24	6.250411601508046
>25	3.45447605755457
>26	2.744277246338127
>27	2.7001023726865716
>28	3.9926145214349127
>29	4.571635498049067
>30	4.172625137251873
>31	3.342129787378202
>32	2.7076024150220945
>33	6.118140606888633
>34	2.842767215319928
>35	3.1967310388737555
>36	0.35681712018925515
>37	6.523765844295308
>38	6.188064778365276
>39	6.34357715812514
>40	3.8732829966662456
>41	4.533781903385293
>42	1.3420944251196754
>43	3.2806724595336285
>44	5.000470835155806
>45	5.274517503129929
>46	2.2801134507039986
>47	5.0205435427968315
>48	3.9035479473228176
>49	3.5375696253445352
>50	4.096901636064194
>51	3.6990177627403544
>52	4.631600593140101
>53	3.089045322343302
>54	3.7463364144115388
>55	3.8805965016377892
>56	6.555765308324259
>57	5.23273169299595
>58	4.439156219097537
>59	3.295083342197596
>60	3.107537634311037
>61	4.265968764222176
>62	3.762211492422518
>63	7.727066625346162
>64	6.945200391968235
>65	3.7630061765810434
>66	3.3875386581192597
>67	5.783011244792546
>68	5.903254082835568
>69	2.013582330270816
>70	5.650740250173132
>71	2.1039617545259643
>72	2.8262365159633727
>73	5.997879767123323
>74	3.543706476687148
>75	2.6737412543647117
>76	5.613373522849618
>77	1.876431329416538
>78	3.6579061288651893
>79	1.6809504448393644
>80	6.033764414600426
>81	4.954491370629801
>82	5.589002379550484
>83	2.4809826869863154
>84	7.5448717433031485
>85	1.9006541425794234
>86	3.606900206369312
>87	4.726330640956693
>88	2.7231236643622374
>89	5.589002379550484
>90	4.125306485580689
>91	4.747171051081521
>92	2.7465028851311413
>93	3.0619796840819262
>94	6.678669271535052
>95	3.51682288069734
>96	2.861601676777669
>97	6.130150761742736
>98	7.173361083053823
>99	4.389440616006052
>100	2.2133213543671797
>101	1.1231469967760095
>102	1.2353955564284198
>103	5.497628845428891
>104	3.6302127042936827
>105	5.274536502888056
>106	2.017261789806348
>107	4.471435080242523
>108	4.410595219466711
>109	3.22924060002472
>110	4.8586016741636255
>111	1.431818476356792
>112	5.883001108013278
>113	0.9565700788158837
>114	3.330729091656367
>115	5.000470835155806
>116	1.277518112591942
>117	6.418589234367832
>118	1.4780853069553128
>119	3.578140779829466
>120	0.42498348340882486
>121	6.779746000501251
>122	3.5252141647194133
>123	6.391494849675895
>124	8.322993070129424
>125	5.589002379550484
>126	1.981771921472022
>127	0.8733134367595121
>128	0.1637062647940306
>129	5.40680749750747
>130	4.304896131871287
>131	8.364104704004589
>132	5.254312235908808
>133	6.523765844295308
>134	2.735064681316744
>135	3.4632621207194205
>136	3.3905950719429065
>137	9.572259660222851
>138	5.795568404892633
>139	2.5080770716782514
>140	2.301339942623787
>141	4.102266194146896
>142	5.589002379550484
>143	2.673218776696763
>144	4.621351101140552
>145	2.927103453710096
>146	4.654024741428315
>147	2.926110701957583
>148	0.5556267672022606
>149	4.786911879193308
>150	5.475204697140678
>151	2.7816011227317827
>152	3.0619796840819262
>153	2.6340004262529244
>154	3.2378426727489207
>155	1.1724567031767466
>156	6.931969055609335
>157	7.987900956719513
>158	1.8805426299424923
>159	4.102266194146896
>160	8.322993070129424
>161	1.8688347295529906
>162	0.7011124002778886
>163	2.409147884242041
>164	3.054955365519046
>165	1.546509285136806
>166	3.148401464914215
>167	6.096905417621026
>168	3.262848920364244
>169	1.465528146855227
>170	6.837660017123789
>171	2.4809826869863154
>172	1.8195544652706266
>173	2.7231236643622374
>174	3.930267698292143
>175	4.045541136544966
>176	5.315648136763222
>177	3.9926145214349127
>178	4.747171051081521
>179	4.449405711097087
>180	3.5884078944015765
>181	4.487091013914301
>182	3.0587431230005553
>183	1.9412574309843096
>184	3.5261434797160547
>185	4.319435858722464
>186	6.262968761608132
>187	5.316050106531455
>188	3.8732829966662456
>189	4.964300761759051
>190	2.08548191646061
>191	3.945080550724346
>192	4.747171051081521
>193	4.8381666184822505
>194	3.6302127042936827
>195	2.552475020130952
>196	1.550256212233625
>197	3.0619796840819262
>198	4.340646104695571
>199	1.8094947818351748
>200	2.7230420570705225
>201	1.4820482971744053
>202	2.747513807419498
>203	6.056804706034218
>204	5.924112741888442
>205	3.3845518860779262
>206	4.487091013914301
>207	3.8835124883679657
>208	4.096901636064194
>209	7.46053550491298
>210	5.145973166134118
>211	3.4347011210885947
>212	3.502594842811982
>213	4.083773882179162
>214	4.830833113212877
>215	4.363432756497377
>216	4.152400870272625
>217	3.4638782638650003
>218	7.927935861628479
>219	2.842767215319928
>220	1.431818476356792
>221	4.819674306514515
>222	1.9419331063489642
>223	8.322993070129424
>224	4.045541136544966
>225	3.4444276592616787
>226	3.107537634311037
>227	4.9061617966702595
>228	2.4271598925647564
>229	3.6984016195947746
>230	5.481102528230204
>231	3.3615115946441336
>232	1.4106315669246723
>233	6.118140606888633
>234	2.4913915647880644
>235	2.314200766016283
>236	5.2870746632300145
>237	2.3527657856250443
>238	2.123765484878386
>239	1.7535022931035953
>240	2.814283025106486
>241	3.8805965016377892
>242	2.388477628401004
>243	3.319725784510155
>244	3.666865301460346
>245	3.945080550724346
>246	4.347996858353289
>247	6.238383444931654
>248	9.572259660222851
>249	1.4144193244061818
